statement,label
"""Tired of fighting because of low menstruation"" ..-___-",0
Looking for a job and the prospect of becoming unemployed makes me nervous ”,1
lrt kenma is so cute,0
"It's really hard to be ""stupid"" or ""okay"" with things that disturb your mind. Grandpa, you really have to think about the reason why this happened, you really have to think about how it affects you, just to make the brain not stop thinking, and make the heart restless. Arghhh",1
Anxious every weekend here,1
"how do you keep it calm, original tbtb is excited and then you're sweaty or nervous """,1
-dips! Anyone else not busy? Anyone want to hear me vent? I don't know why I'm so worried :),1
Have you ever felt nervous but didn't know why?,1
"I just want to sleep, oh God, I'm not even sure it's clear",1
-11fess starts again every night is restless :)))),1
ORIGINAL ORIGINAL AT THE END OF THIS END IS ANGRY EVERY HOURS 22.00 FEAR THE MIXTAPE COMES OUT,1
"The cake sings gaene slaps the sing marai, I'm confused, even though I'm mbok walik, mbok arani slap ae! Cookkkkk! I want the cake to be mixed, I think it's very good. Your hobby is to play around with facts, cake!. Kedarung metu kbh elek i lo goro koe!",0
"For God's sake, I'm so tired of worrying.",1
I'm so nervous I feel why,1
"I haven't opened it for 2 days, it's all over, it's really late",0
Those who have an account are being chased by a deadline :(,0
"–¤ When you're anxious or nervous, do you feel like your heart feels weird, doesn't it? Is it just me?",1
I pray,0
Q: Does anyone know of a sedative so you don't get excited? I wake up restless every time I don't know why or do I have any other suggestions so that it doesn't continue like this. thank you,1
sorry @ my family who have heard me falling down feelin up you want it,0
I haven't given up… just a little restless.,1
People who are restless and afraid can be seen from the frequent touching of the face and ringing the fingers.,1
the connection is working but why is my tweet not working,0
"I'm really worried, I want to cry.",1
Como que el jypark muri0,0
excited not sieee,0
"Already complete. Disappointed with a broken heart. Produces a sense of restlessness. I don't know, hopefully all of this ends beautifully",1
"When I re-read the soft file proposal, how come there are so many mistakes. But how do you want the file to be distributed, it's getting more and more anxious.",1
"if it's really classic vinyl, I've never had one",0
It's been a few nights when I've only slept for an hour hehe I'm so restless,1
"Yes, look at the el domingo outfits",0
"Happy Mother's Day to my mother, your mother and our future mothers. Eh",0
I shouldn't worry about fate. Because even a leaf God has arranged to fall when and where,1
"anxiety, fear, overthinking at the same time can be called a panic attack, right?",1
watching nano which is s2 hours is ok or not?,0
Aaaaa turn on with guy who is good at cooking ° can you be my husband? Ha ha,0
I'm emotional,0
-/-/- 15:30 7psx F,0
"Restless, upset if there is no news all day..",1
"There is a feeling of wanting to be able to bring a pickup so that if you buy a lot, you don't go back and forth. My little car is so sad it's full of stuff",0
restless upset languishing,1
"Good leader showing the good behavior, now I see it's like a crab teaching children to walk straight, lol",0
is it peat?,0
very busy taking care of sim,0
Tired of being restless every day :'(,1
"Actually, I'm just happy to be happy right now, but yeah, I really like being nervous all of a sudden",1
another coincidence?,0
Sudden restlessness. Why are you..,1
Ya Allah can't sleep I'm so worried,1
How to check people who don't follow us on Zee! How are you Peto?,0
why 3 days I brought him restless huhðŸ¤”,1
"O Allah, I just ask for a safe and peaceful life without being haunted by anxiety, O Allah",1
"I haven't slept yet, and now my head hurts so bad. I'm sleepy, but I can't sleep, I've tried to brake but I'm restless ",1
"57.Dn this is a legend, his son is really cool, likes jbjb, it's nice to be invited to jam wkwk",0
"Madam, why are you crazy",0
why sleepy :(,0
"I'm easily restless, even fake.",1
q jyp q,0
"However, every time I picket, I'm always nervous: ""Even though I'm just a picket, I'm really scared, I'm excited:""",1
"Yes, what do you want to do, when you are asked for news, there is no response, you know, even if the update is blocked, who isn't worried.",0
I'm tired of being cornered by my parents from night until I wake up in the morningðŸ˜€ðŸ˜€ðŸ˜€,0
"It's really delicious in the morning, sweet martabak breakfast~",0
can this be 2M,0
"H-2 I have a really bad feeling, I'm nervous, confused and miserable, like I'm not calm like that. I have mixed feelings, I don't feel very good",1
Still sad,0
Feeling anxious for no reason,1
Why are you restless and restless yo ”,1
restless restlessness haunts self,1
"um! Pls, how do I feel afraid to go out of the house because I'm afraid to meet people, I don't know why, even though I wasn't like this before, I used to be nervous, then I'm so anxious I'm so sweaty",1
LANSLSMD FALTAN POCAS HORAS,0
"zoo, can df or1 c4t be eaten with a kitten that is a few months old? Because my cats are 2 adults, 2 kittens. Thank you for wanting to answer",0
"Day 3, I'm getting restless.. -FZR-",1
maybe I'm nervous like this,1
Restless all over the body; disheveled mood; do not know the direction; hurry over.,1
